name,description,sourceZones,destinationZones,sourceNetworks,destinationNetworks,applications,sourcePorts,destinationPorts,urls,urlCategoryReputation,urlCategories,action,ipsPolicy,variableSet,logFiles,filePolicy,sendEventsToFMC,commentHistoryList,sourceSecurityGroupTags,destinationSecurityGroupTags,networkAccessDeviceIPs,endPointDeviceTypes,enableSyslog,syslogConfig,syslogSeverity,originalSourceNetworks,,ApplicationRisks,ApplicationTypes,ApplicationCategories,,sequence
DNS Traffic Out,Allow INSIDE DNS Servers to access Internet for domain services,EQ_INSIDE,EQ_OUTSIDE,EQ_INSIDE_DNS_Servers-Group/INSIDE_DNS_North_Group/INSIDE_DNS_Ontario_Group/STN_INSIDE_DNS_Servers-Group,any,,,DNS_over_TCP/ DNS_over_UDP,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,1
Exchange online IMAP for Prism Access,EQ_INSIDE to OUTSIDE Exchange online IMAP for Prism,EQ_INSIDE,EQ_OUTSIDE,EQ_INSIDE_ExchangeOnline-Group,OUTSIDE_office365_group,,,SMTPS_TCP_465/TCP_587/TCP_993,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,2
SMTP to Hybride Cloud Exchange,EQ_INSIDE to OUTSIDE SMTP to hybrid cloud exchange,EQ_INSIDE,EQ_OUTSIDE,EQ_Inside_Exchange_2016_Servers-Group,OUTSIDE_smtp.office365.com,,,TCP_587,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,3
Outlook Mail Protection,EQ_INSIDE to EQ_OUTSIDE Outlook mail protection,EQ_INSIDE,EQ_OUTSIDE,EQ_Inside_Exchange_2016_Servers-Group,OUTSIDE_Outlook_Mail_protection-Group,,,SMTP,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,4
JBS Optimization cloud access,EQ_INSIDE to OUTSIDE JBS Optimization cloud access,EQ_INSIDE,EQ_OUTSIDE,EQ_INSIDE_JBS-Group,OUTSIDE_35.203.91.134,,,TCP_7867/UDP_7867/TCP_7874,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,5
SFTP Access to Certent Cloud,EQ_INSIDE to OUTSIDE SFTP access to Certent Cloud,EQ_INSIDE,EQ_OUTSIDE,EQ_INSIDE_SFTP_10.11.17.116,OUTSIDE_CDMSFTP_COM,,,SSH/UDP_22,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,6
Mobile SSO Traffic,Mobile SSO Communication from internal UAG and VMWare KDC Server,EQ_INSIDE,EQ_OUTSIDE,EQ_INSIDE_CA11AP29P_10.11.17.138/EQ_INSIDE_CA11AP57P_10.11.17.77,OUTSIDE_VMIdentityServer,,,TCP_5262/Kerberos_TCP_88/HTTPS,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,7
VMWare vRealize Updates,VMWare vRealize Business for Cloud updates,EQ_INSIDE,EQ_OUTSIDE,EQ_Inside_CA11VR03P_10.11.17.89/EQ_Inside_CA11VR04P_10.11.17.90/ EQ_Inside_CA11VR05P_10.11.217.139,OUTSIDE_vrbc-services.vmware.com,,,TCP_8443,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,8
Key Lake Loggernet PC Traffic Out,Allow internal Key Lake Loggernet PC to connect to external Loggernet system hosted by Sasktel.,EQ_INSIDE,EQ_OUTSIDE,Key_Inside_Loggernet_PC_10.17.128.96,OUTSIDE_Loggernet_system_70.28.141.175,,,TCP_3001,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,9
Allow Key Lake clients access to 192.101.77.209,Allow Key lake internal clients to access IP 192.101.77.209,EQ_INSIDE,EQ_OUTSIDE,KEY_INSIDE_Supernet_10.17.0.0-16,OUTSIDE_192.101.77.209,,,TCP_10454/ SSH,,,,Permit,,,FALSE,,TRUE,,,,,,,,,,,,,,,10
