name,type,value,description,group,Group Description
Cameco_Internal_Supernet_10.0.0.0-8,network,10.0.0.0/8,Cameco,EQ_Inside_Private_Networks-Group,
EQ_Inside_DNS_Server_10.11.25.30,host,10.11.25.30,Equinix DNS Server,EQ_INSIDE_DNS_Servers-Group,Equinix DC DNS Servers Group
STN_Inside_DNS_Server_10.11.25.30,host,10.1.25.30,STN DNS Server,STN_INSIDE_DNS_Servers-Group,STN DC DNS Servers Group
Rabbit_Inside_DNS_Server_10.18.25.30,host,10.18.25.30,Rabbit Lake DNS server,INSIDE_DNS_North_Group,SK North DNS Servers Group
McArthur_inside_DNS_Server_10.16.25.30,host,10.16.25.30,McArthur River DNS server,INSIDE_DNS_North_Group,SK North DNS Servers Group
Cigar_inside_DNS_Server_10.19.25.30,host,10.19.25.30,Cigar Lake DNS server,INSIDE_DNS_North_Group,SK North DNS Servers Group
PHCF_Inside_DNS_Server_10.32.25.30,host,10.32.25.30,PHCF DNS Server,INSIDE_DNS_Ontario_Group,Ontario DNS Servers Group
BlindRiver_Inside_DNS_Server_10.34.25.30,host,10.34.25.30,BlindRiver DNS Server,INSIDE_DNS_Ontario_Group,Ontario DNS Servers Group
Key_Inside_Loggernet_PC_10.17.128.96,host,10.17.128.96,Internal Key Lake Loggernet PC ,,
OUTSIDE_Azure_Node_40.85.217.214,host,40.85.217.214,Outside Azur Node,,
KEY_INSIDE_Supernet_10.17.0.0-16,network,10.17.0.0/16,Key lake Supernet,,
OUTSIDE_nanoprecisedataservices.com,fqdn,nanoprecisedataservices.com,Outside Nano Precise services,,
OUTSIDE_192.101.77.209,host,192.101.77.209,Outside IP 192.101.77.209,,
OUTSIDE_Loggernet_system_70.28.141.175,host,70.28.141.175,Sasktel Hosted Loggernet system IP,,
EQ_INSIDE_pcfs1411.cameco.com,fqdn,pcfs1411.cameco.com,Inside NanoPrecise user 1,EQ_INSIDE_Nanoprecise_Users-Group,Inside NanoPrecise Users
EQ_INSIDE_pcfs1632.cameco.com,fqdn,pcfs1632.cameco.com,Inside NanoPrecise user 2,EQ_INSIDE_Nanoprecise_Users-Group,Inside NanoPrecise Users
EQ_INSIDE_pcsk21181.cameco.com,fqdn,pcsk21181.cameco.com,Inside NanoPrecise user 3,EQ_INSIDE_Nanoprecise_Users-Group,Inside NanoPrecise Users
