#,name,type,value,description,group
1,Cisco_TNA_TCP_131,TCP,131,,
2,CMIP_TCP_163,TCP,163,,
3,DNS_over_TCP,UDP,53,,
4,DNS_over_UDP,TCP,53,,
5,FTP,TCP,21,,
6,FTP_Data_TCP_20,TCP,20,,
7,Horizon_MMR_TCP_9427,TCP,9427,,
8,HTTP,TCP,80,,
9,HTTPS,TCP,443,,
10,Kerberos_TCP_88,TCP,88,Kerberos,
11,Kerberos_UDP_88,UDP,88,Kerberos,
12,Kpasswd_TCP_464,TCP,464,Kerberos change/set password,
13,Kpasswd_UDP_464,UDP,464,Kerberos change/set password,
14,LDAP,TCP,389,,
15,LDAP_GC_TCP_3269,TCP,3269,,
16,LDAP_UDP_389,UDP,389,,
17,LDAPS_TCP_636,TCP,636,,
18,LDAPS_UDP_636,UDP,636,,
19,MS_Teams,UDP,3478,,
20,NFSD-TCP,TCP,2049,NFS - Check & Confirm port number on ASA,
21,UDP_NTP,UDP,123,NTP,
22,obj_tcp_587,TCP,587,,
23,PCoIP_TCP_4172,TCP,4172,,
24,PCoIP_UDP_4172,UDP,4172,,
25,RDP,TCP,3389,,
26,SAPRTR_TCP_3299,TCP,3299,,
27,SIP_TLS_TCP_5061,TCP,5061,,
28,SMB_TCP_445,TCP,445,,
29,SMTP,TCP,25,,
30,SMTPS_TCP_465,TCP,465,,
31,UDP_SNMP,UDP,161,SNMP,
32,UDP_SNMPTRAP,UDP,162,SNMP Traps,
33,Sunrpc_TCP_111,TCP,111,SUNRPC,
34,UDP_Syslog,UDP,514,"Already defined on FMC as ""SYSLOG""",
35,RSH_TCP_514,TCP,514,Remote shell,
36,TCP_20021,TCP,20021,,
37,TCP_2010,TCP,2010,,
38,TCP_2020,TCP,2020,,
39,TCP_2052,TCP,2052,,
40,TCP_20990,TCP,20990,,
41,TCP_22443,TCP,22443,,
42,TCP_26100-26299,TCP,26100-26299,,
43,TCP_32111,TCP,32111,,
44,TCP_32115,TCP,32115,,
45,TCP_3268,TCP,3268,,
46,TCP_3433,TCP,3433,,
47,TCP_50000-59999,TCP,50000-59999,,
48,TCP_50001,TCP,50001,,
49,TCP_50002,TCP,50002,,
50,TCP_5123,TCP,5123,,
51,TCP_5274,TCP,5274,,
52,TCP_5450,TCP,5450,,
53,TCP_62028,TCP,62028,,
54,TCP_7080,TCP,7080,,
55,TCP_7443,TCP,7443,,
56,TCP_7444,TCP,7444,,
57,TCP_8080,TCP,8080,,
58,TCP_8081,TCP,8081,,
59,TCP_8082,TCP,8082,,
60,TCP_8089,TCP,8089,,
61,TCP_8143,TCP,8143,,
62,TCP_8443,TCP,8443,,
63,TCP_8530-8531,TCP,8530-8531,,
64,TCP_8888,TCP,8888,,
65,TCP_9000,TCP,9000,,
66,TCP_9997,TCP,9997,,
67,TrendMicro_TCP_4118,TCP,4118,,
68,TrendMicro_TCP_4119,TCP,4119,,
69,TrendMicro_TCP_4120,TCP,4120,,
70,TrendMicro_TCP_4122,TCP,4122,,
71,UDP_5450,UDP,5450,,
72,UDP_8082,UDP,8082,,
73,vSphere_client_TCP_902,TCP,902,,
74,SSH,TCP,22,SSH - Already defined on FMC,
75,TCP_RSH,TCP,514,,
76,UDP_50000-59999,UDP,50000-59999,,
77,TCP_5275,TCP,5275,,
78,TCP_3030,TCP,3030,,
79,UDP_8801-8810,UDP,8801-8810,,
80,UDP_5004,UDP,5004,,
81,UDP_9000,UDP,9000,,
82,UDP_19302-19309,UDP,19302-19309,,
83,TCP_5004,TCP,5004,,
84,TCP_4443,TCP,4443,,
85,TCP_10443,TCP,10443,,
86,TCP_993,TCP,993,,
87,TCP_7867,TCP,7867,,
88,TCP_7874,TCP,7874,,
89,TCP_5228,TCP,5228,,
90,TCP_10000,TCP,10000,,
91,UDP_7867,UDP,7867,,
92,TCP_5262,TCP,5262,,
,TCP_9100,TCP,9100,,
,TCP_9101,TCP,9101,,
,TCP_9902,TCP,9902,,
,UDP_3479,UDP,3479,,
,UDP_3480,UDP,3480,,
,UDP_3481,UDP,3481,,
,TCP_8088,TCP,8088,,
,TCP_3388,TCP,3388,,
,TCP_8000,TCP,8000,,
,TCP_20000-65535,TCP,20000-65535,,
,TCP_3478,TCP,3478,,
,UDP_1024-65535,UDP,1024-65535,,
,TCP_7999,TCP,7999,,
,TCP_3001,TCP,3001,,
,UDP_22,UDP,22,,
,TCP_1935,TCP,1935,,
,TCP_10454,TCP,10454,,
,TCP_38880,TCP,38880,,
,TCP_38881,TCP,38881,,
,TCP_38882,TCP,38882,,
,TCP_6785,TCP,6785,,
,TCP_6151,TCP,6151,,
,UDP_500_ISAKMP,UDP,500,,
,TCP_10080,TCP,10080,,
,TCP_587,TCP,587,,
,UDP_3478,UDP,3478,,
,UDP_443,UDP,443,,
